"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value"
"11501",-121.26,38.68,4,3080,827,1195,683,2.7477,133000
"11502",-121.26,38.68,13,4256,619,1948,622,5.2051,167400
"11503",-121.26,38.67,18,1830,313,905,361,4.2273,141800
"11504",-121.26,38.66,8,1145,241,447,216,4.0781,124300
"11505",-121.26,38.66,19,3170,444,1344,452,6.1183,221600
"11506",-121.26,38.65,17,2655,421,991,384,4.6484,270600
"11507",-121.26,38.64,40,1098,175,415,160,4.8375,217400
"11508",-121.26,38.14,10,3371,665,1823,654,3.5333,116800
"11509",-121.26,38.13,38,1419,411,1226,397,2.2188,68800
"11510",-121.26,38.13,25,2549,675,2053,648,2.0875,83100
"11511",-121.26,38.12,27,1818,459,1182,428,1.8575,73800
"11512",-121.26,38.11,8,2770,642,1611,633,3.1284,115100
"11513",-121.26,38.11,4,2058,366,933,316,4.2448,150900
"11514",-121.26,38.09,35,930,186,525,201,2.0625,155000
"11515",-121.26,37.99,27,429,102,179,90,2.3333,87500
"11516",-121.26,37.98,41,1633,433,885,413,0.9782,54200
"11517",-121.26,37.98,32,3274,820,2050,738,2.1265,55700
"11518",-121.26,37.97,41,2398,448,1143,444,3.0352,69800
"11519",-121.26,37.97,31,1189,295,891,292,2.5536,50500
"11520",-121.26,37.96,43,940,208,690,181,2.3056,62300
"11521",-121.26,37.96,43,527,133,367,152,2.5,63600
"11522",-121.26,37.96,40,535,105,335,102,2.5234,62800
"11523",-121.26,37.96,35,1511,316,892,304,1.7898,63500
"11524",-121.26,37.95,44,819,184,677,183,1.725,59300
"11525",-121.26,37.95,39,1841,428,1368,390,2.1583,62000
"11526",-121.26,37.94,43,1610,412,1409,365,1.7574,51700
"11527",-121.26,37.93,33,2109,531,2248,588,1.4583,53000
"11528",-121.26,37.88,42,465,93,256,93,3.1719,158300
"11529",-121.26,36.32,30,146,41,164,40,2.3,206300
"11530",-121.27,38.87,16,2094,358,1092,357,4.4769,191400
"11531",-121.27,38.75,43,1292,307,647,249,2.7188,85300
"11532",-121.27,38.75,21,4812,1117,1985,1045,2.5083,128500
"11533",-121.27,38.74,19,3869,887,2086,685,2.6065,154900
