"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value"
"2501",-117.63,34.37,20,7052,1306,2197,810,3.7252,167100
"2502",-117.63,34.12,4,4323,775,1479,663,6.0758,226800
"2503",-117.63,34.1,15,4799,1209,2554,1057,2.6582,122800
"2504",-117.63,34.09,19,3490,816,2818,688,2.8977,126200
"2505",-117.63,34.08,38,1810,371,1257,354,3.8355,111700
"2506",-117.63,34.07,39,2650,511,1537,495,3.4432,106700
"2507",-117.63,34.06,39,1210,310,1294,303,2.3636,88300
"2508",-117.63,34.02,13,4864,729,2780,723,5.6168,175400
"2509",-117.63,33.94,36,447,95,2886,85,4.2578,183300
"2510",-117.63,33.65,10,3580,491,1688,467,7.7814,288700
"2511",-117.63,33.63,6,3068,549,985,536,4.2009,238000
"2512",-117.63,33.62,9,4257,785,1293,745,3.7139,196700
"2513",-117.63,33.5,12,3619,536,1506,492,7.2013,353600
"2514",-117.63,33.47,4,2320,405,1408,477,6.3369,256000
"2515",-117.63,33.47,4,1969,280,805,271,7.6012,310800
"2516",-117.63,33.46,7,7684,1088,2812,1057,6.3401,387300
"2517",-117.63,33.45,5,3549,604,1571,534,5.3705,363500
"2518",-117.63,33.38,12,5744,1054,2104,847,5.1482,500001
"2519",-117.64,35.61,10,2656,506,1349,501,4.25,83200
"2520",-117.64,34.15,16,2896,404,1165,379,6.4559,392900
"2521",-117.64,34.12,18,3605,534,1682,480,5.8407,202900
"2522",-117.64,34.11,16,2129,420,932,379,2.5868,146900
"2523",-117.64,34.08,37,2576,468,1284,428,3.3958,130400
"2524",-117.64,34.08,35,1254,241,729,253,3.495,118000
"2525",-117.64,34.08,33,1987,455,1369,475,2.4464,122600
"2526",-117.64,34.07,52,1644,372,1269,355,2.6913,108300
"2527",-117.64,34.07,43,1970,379,1036,391,3.2083,122800
"2528",-117.64,34.07,38,2450,544,1823,536,2.837,111200
"2529",-117.64,34.07,30,2787,713,2647,693,2.2765,98100
"2530",-117.64,34.06,50,637,143,590,147,1.9659,85700
"2531",-117.64,34.06,43,763,219,851,198,1.7292,79200
