"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value"
"3001",-117.79,33.77,21,4349,553,1680,519,6.9014,439000
"3002",-117.79,33.76,25,2037,252,796,249,11.0546,487200
"3003",-117.79,33.75,26,2955,377,1074,373,9.3845,500001
"3004",-117.79,33.75,26,2893,345,983,326,13.466,500001
"3005",-117.79,33.73,3,8240,1410,3318,1270,7.2074,291300
"3006",-117.79,33.71,16,6339,862,3132,825,7.1069,313400
"3007",-117.79,33.71,16,3114,463,1641,469,6.2162,283200
"3008",-117.79,33.7,6,1593,371,832,379,4.4286,239500
"3009",-117.79,33.7,16,6259,1098,3785,1114,6.3298,247100
"3010",-117.79,33.7,16,1416,249,636,244,5.1741,227700
"3011",-117.79,33.69,16,3067,396,1275,372,8.7385,340000
"3012",-117.79,33.69,16,1532,240,679,248,5.7115,313900
"3013",-117.79,33.69,15,1875,316,890,316,6.5783,244800
"3014",-117.79,33.68,9,1633,295,928,297,5.7858,265900
"3015",-117.79,33.68,16,1998,308,818,299,6.8722,326100
"3016",-117.79,33.68,13,2636,416,1137,404,7.2118,311500
"3017",-117.79,33.68,10,2106,319,1002,332,8.735,375300
"3018",-117.79,33.56,36,2057,329,658,309,7.866,500001
"3019",-117.79,33.55,39,5066,1292,1915,1117,3.821,452100
"3020",-117.8,34.11,25,5039,821,2654,802,4.7969,211700
"3021",-117.8,34.1,17,5153,1164,2949,1083,3.5603,174600
"3022",-117.8,34.05,5,4536,1178,2485,909,4.1118,125900
"3023",-117.8,34.03,25,4240,643,1885,637,6.2384,247600
"3024",-117.8,34.02,23,3351,591,1535,522,5.0869,230600
"3025",-117.8,33.92,16,5819,986,2306,914,4.6315,277500
"3026",-117.8,33.9,22,3760,482,1485,461,7.8537,354900
"3027",-117.8,33.87,16,5954,1281,3107,1209,4.2566,206100
"3028",-117.8,33.85,23,3038,470,1568,438,5.6403,233000
"3029",-117.8,33.83,17,2971,350,1180,346,11.1228,500001
"3030",-117.8,33.79,13,2021,362,1081,341,4.3269,231400
"3031",-117.8,33.78,18,3548,474,1506,449,6.925,290300
"3032",-117.8,33.78,17,4138,805,2442,780,4.7804,242000
"3033",-117.8,33.77,29,5436,707,2046,685,8.7496,349500
"3034",-117.8,33.76,27,2655,345,1017,335,6.9014,366800
"3035",-117.8,33.75,29,3058,488,1197,474,5.3903,286600
"3036",-117.8,33.74,33,2890,453,1300,452,6.5616,290200
"3037",-117.8,33.74,30,3569,551,1540,537,5.2998,247200
"3038",-117.8,33.72,16,2617,506,1317,511,4.821,201400
"3039",-117.8,33.69,16,2745,447,1429,411,6.8219,325500
"3040",-117.8,33.69,15,2099,322,873,307,7.9887,328000
"3041",-117.8,33.69,14,1800,362,874,373,4.2083,251000
"3042",-117.8,33.69,13,1161,289,630,296,3.3438,333300
"3043",-117.8,33.68,8,2032,349,862,340,6.9133,274100
"3044",-117.8,33.68,5,623,146,396,136,3.631,225000
"3045",-117.8,33.67,5,2638,521,1179,480,5.7759,240000
"3046",-117.8,33.67,5,2487,388,1147,397,8.284,302500
"3047",-117.8,33.67,4,3345,552,1525,539,6.7962,329100
"3048",-117.8,33.66,16,2542,498,1022,494,4,223400
"3049",-117.8,33.64,8,4447,713,1680,705,8.8693,450400
"3050",-117.8,33.63,8,32,9,26,11,4.1944,270800
"3051",-117.8,33.63,15,3236,451,1289,416,11.1121,493000
"3052",-117.8,33.55,38,1757,464,821,426,4.1304,433300
"3053",-117.8,33.53,41,2017,489,783,403,4.1591,500001
"3054",-117.8,33.52,50,1152,341,519,225,3.053,500001
