"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value"
"14501",-122.14,37.67,36,1487,249,641,243,4.0682,196200
"14502",-122.14,37.5,46,30,4,13,5,15.0001,500001
"14503",-122.14,37.48,36,1210,236,981,239,4.0039,148900
"14504",-122.14,37.47,37,3373,815,2909,705,2.8868,156600
"14505",-122.14,37.47,36,2081,412,1931,373,3.7917,160600
"14506",-122.14,37.46,27,5580,2009,4165,1763,2.4375,189000
"14507",-122.14,37.45,52,3841,537,1391,540,7.8647,500001
"14508",-122.14,37.45,48,2074,297,700,279,8.7051,500001
"14509",-122.14,37.44,52,3117,468,1114,421,6.6756,500001
"14510",-122.14,37.43,52,1944,308,696,293,8.2664,500001
"14511",-122.14,37.43,52,1383,227,551,249,6.5829,500001
"14512",-122.14,37.43,52,1327,190,467,189,12.5902,500001
"14513",-122.14,37.42,46,206,44,134,51,4.15,265000
"14514",-122.14,37.38,26,2859,343,951,336,10.4277,500001
"14515",-122.14,37.36,23,11294,1377,3840,1367,12.1387,500001
"14516",-122.14,37.08,18,2420,439,1278,416,5.2101,334000
"14517",-122.15,38.29,17,1625,239,703,224,6.5891,328800
"14518",-122.15,38.06,10,3008,532,1381,522,5.3661,195800
"14519",-122.15,38.04,14,2804,587,1083,573,2.6466,168500
"14520",-122.15,37.76,39,1823,286,763,270,6.0749,196900
"14521",-122.15,37.74,52,2898,557,1338,550,3.851,183500
"14522",-122.15,37.74,52,1394,223,545,230,3.95,219000
"14523",-122.15,37.74,49,1494,316,611,288,2.2,187500
"14524",-122.15,37.74,49,1325,277,764,282,3.3125,118000
"14525",-122.15,37.74,43,1383,275,853,272,3.5083,122000
"14526",-122.15,37.74,41,856,178,571,191,3.1458,130600
"14527",-122.15,37.73,52,1028,129,317,143,4.9135,275000
"14528",-122.15,37.73,45,3758,819,1573,736,2.8355,245400
"14529",-122.15,37.73,28,2215,587,830,573,2.1898,141700
"14530",-122.15,37.72,47,1190,251,540,266,3.375,198300
"14531",-122.15,37.72,31,1616,372,739,379,2.9097,210900
"14532",-122.15,37.72,29,4169,1047,2024,962,2.8125,157400
"14533",-122.15,37.71,36,998,178,531,183,4.0208,191500
"14534",-122.15,37.71,18,5778,1526,2441,1352,3.1682,202700
"14535",-122.15,37.7,36,1468,252,733,229,3.4583,192600
"14536",-122.15,37.7,36,1464,244,672,261,3.5547,194700
"14537",-122.15,37.69,39,1670,308,957,335,5.1312,183600
"14538",-122.15,37.69,38,1246,221,637,222,3.6625,184600
"14539",-122.15,37.69,36,1545,273,863,267,4.0109,192900
"14540",-122.15,37.69,36,1501,287,703,276,3.8864,197300
"14541",-122.15,37.68,35,2632,447,1349,486,4.3864,205200
"14542",-122.15,37.68,30,2261,443,929,383,4.2841,213400
"14543",-122.15,37.67,35,2472,398,1171,390,5.5797,198100
"14544",-122.15,37.47,39,1295,239,566,242,5.6407,326400
"14545",-122.15,37.46,52,1803,257,683,259,10.9508,500001
"14546",-122.15,37.46,42,1995,412,794,374,5.6234,379600
"14547",-122.15,37.46,39,906,109,353,112,10.3942,500001
"14548",-122.15,37.46,30,4198,1244,2678,1147,3.6712,308600
"14549",-122.15,37.45,52,568,91,219,75,6.1575,500001
"14550",-122.15,37.45,52,2117,353,734,328,6.767,500001
"14551",-122.15,37.44,52,2063,320,774,309,7.2543,500001
"14552",-122.15,37.44,52,1945,293,708,275,6.1655,500001
