"longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value"
-118.41,33.89,35,1194,292,507,295,9.0812,500001
-118.41,33.89,34,2959,639,1143,593,6.348,500001
-118.41,33.89,31,702,161,236,144,5.0497,500001
-118.41,33.89,31,1428,320,677,331,7.2316,500001
-118.41,33.88,43,2492,449,1033,437,7.9614,500001
-118.41,33.88,34,540,107,213,104,6.3403,500001
-118.41,33.88,34,1471,308,498,264,7.0842,500001
-118.41,33.77,22,7554,991,2808,946,10.06,500001
-118.41,33.75,4,311,51,128,46,9.8091,500001
-118.42,37.36,18,2281,520,1425,465,1.7388,54400
-118.42,37.35,21,3302,557,1413,520,4.375,180400
-118.42,34.32,30,3027,604,1970,590,4.3409,156000
-118.42,34.3,29,3334,712,2919,718,3.6548,180300
-118.42,34.29,34,1489,326,1389,313,3.4821,160300
-118.42,34.28,35,822,200,1197,203,3.2865,133300
-118.42,34.28,34,1999,427,2391,439,2.8,144300
-118.42,34.28,29,1271,272,1338,266,4.125,150000
-118.42,34.27,37,1024,246,1371,239,3.225,147500
-118.42,34.27,35,674,153,808,173,2.6667,147800
-118.42,34.27,33,1209,341,1097,283,1.6295,134300
-118.42,34.26,36,973,221,1086,218,3.4519,143300
-118.42,34.25,36,1430,331,1502,312,3.6292,145200
-118.42,34.24,36,1181,220,775,218,4.7228,183800
-118.42,34.24,35,1507,281,1025,286,4.5833,177200
-118.42,34.24,17,2049,548,2243,541,2.525,163700
-118.42,34.23,34,1550,279,1011,288,4.5375,189000
-118.42,34.23,33,2478,457,1567,446,5.6629,186700
-118.42,34.22,34,3004,589,1938,568,4.1857,198600
-118.42,34.22,29,1807,323,1234,310,5.3767,233000
-118.42,34.21,29,2893,543,1636,540,5.1586,237400
-118.42,34.2,34,161,48,66,33,1,187500
-118.42,34.2,27,3201,970,3403,948,2.2377,231700
-118.42,34.2,24,3148,908,2850,839,1.9549,221500
-118.42,34.19,34,2622,572,1997,573,3.338,222500
-118.42,34.19,33,3353,790,2318,775,2.2589,269700
-118.42,34.19,33,3285,830,2281,786,2.6165,230800
-118.42,34.18,40,1013,150,449,166,5.7143,382400
-118.42,34.18,31,2887,646,1626,637,3.6745,335500
-118.42,34.18,30,1323,353,856,333,3.3594,202200
-118.42,34.18,27,3760,880,2022,812,3.1551,225600
-118.42,34.17,31,2235,363,914,370,6.1359,359700
-118.42,34.16,46,54,9,20,6,0.536,375000
-118.42,34.16,28,4664,1040,1963,961,3.9028,367900
-118.42,34.16,25,2769,566,1201,545,3.6641,386100
-118.42,34.16,17,277,70,119,59,4.0208,341700
-118.42,34.15,48,680,131,268,126,4.615,371400
-118.42,34.15,31,1861,430,736,360,5.2853,355900
-118.42,34.15,18,1880,420,681,333,4.3214,372300
-118.42,34.14,27,3990,892,1417,800,4.0439,500001
-118.42,34.13,38,3830,518,1292,516,12.7823,500001
-118.42,34.08,48,2413,261,770,248,15.0001,500001
-118.42,34.08,46,1399,148,410,152,15.0001,500001
-118.42,34.06,52,1881,334,640,321,6.871,500001
-118.42,34.06,44,533,90,291,97,10.8045,500001
-118.42,34.06,40,2933,565,1077,536,6.1527,500001
-118.42,34.05,38,4888,1126,1698,937,4.8304,500001
-118.42,34.05,33,2921,652,1124,608,5.0151,500001
-118.42,34.04,52,1358,272,574,267,5.6454,500001
-118.42,34.04,51,1975,348,771,357,6.626,500001
-118.42,34.04,46,1508,276,639,273,4.925,409800
-118.42,34.03,45,1262,223,637,221,5.0866,427300
-118.42,34.03,44,904,176,358,158,3.3542,344200
-118.42,34.03,44,629,131,326,156,4.5278,374300
-118.42,34.02,34,2995,942,2626,947,2.2402,450000
-118.42,34.02,22,3292,1134,1655,898,3.1746,348800
-118.42,34.02,21,3244,815,1423,781,3.6488,340800
-118.42,34.01,42,1700,438,997,436,2.9213,305000
-118.42,34.01,42,1594,369,952,362,3.099,335400
-118.42,34.01,33,2731,535,1280,510,4.7083,420100
-118.42,34.01,32,1300,356,703,311,3.5667,394000
-118.42,34.01,29,1996,489,960,449,3.6611,344200
-118.42,34,45,1807,355,883,371,5.0357,329800
-118.42,34,31,1930,456,1002,410,3.9798,458600
-118.42,34,14,3771,1180,2355,978,3.1603,287500
-118.42,33.99,38,740,171,599,194,4.0893,248900
-118.42,33.99,35,1724,419,1079,394,4.5521,263800
-118.42,33.99,35,1701,482,1428,494,3.725,284600
-118.42,33.98,3,475,155,236,153,3.6667,450000
-118.42,33.97,44,1462,240,562,237,4.9375,365200
-118.42,33.96,44,1282,216,494,209,5.618,365900
-118.42,33.96,24,4393,966,1257,579,5.0714,356100
-118.42,33.93,39,2988,605,1466,610,4.9286,341400
-118.42,33.93,28,4603,993,2191,943,4.5743,382200
-118.42,33.92,41,1621,279,756,277,5.0594,346000
-118.42,33.92,25,3521,852,1524,764,3.8086,361300
-118.42,33.9,43,1394,321,552,296,5.9596,500001
-118.42,33.9,37,1576,345,662,340,5.308,500001
-118.42,33.9,29,1929,523,686,455,5.5347,500001
-118.42,33.85,43,1584,477,799,433,5.0322,435000
-118.42,33.78,36,2093,303,802,300,8.0957,500001
-118.42,33.75,22,17591,2604,6897,2492,8.2831,500001
-118.43,37.4,19,2460,405,1225,425,4.1576,141500
-118.43,34.43,5,21113,4386,9842,3886,4.2037,194600
-118.43,34.42,13,3600,580,1799,576,6.2971,218300
-118.43,34.33,18,5891,920,2882,911,5.901,235600
-118.43,34.32,34,2657,515,1948,532,4.233,157400
-118.43,34.3,33,2443,498,1601,484,4.0223,146000
-118.43,34.3,28,271,61,246,62,1.7062,164600
-118.43,34.29,50,1181,265,1196,269,3.2095,167000
-118.43,34.29,39,1769,410,1499,390,3.1212,153500
-118.43,34.29,38,1704,347,1384,374,2.865,155500
-118.43,34.29,38,1237,298,1073,293,3.6726,154600
-118.43,34.28,30,1384,308,2054,301,3.0132,142600
-118.43,34.28,27,862,280,1243,267,2.3724,154200
-118.43,34.27,31,1130,276,1533,269,4.2353,156800
-118.43,34.26,30,1246,373,1990,369,3.5104,140900
-118.43,34.25,38,921,239,1023,241,3.4514,151900
-118.43,34.25,35,1447,335,1630,306,2.9205,143100
-118.43,34.25,32,2433,553,2318,532,3.6384,159300
-118.43,34.24,36,1488,313,1221,296,4.0208,171400
-118.43,34.24,36,1379,265,896,246,4.6827,183800
-118.43,34.24,35,1488,293,1112,288,4.4688,182500
-118.43,34.24,35,1416,261,995,272,3.7143,178700
-118.43,34.23,37,1737,369,1061,356,3.9615,173700
-118.43,34.23,35,2049,390,1286,385,4.4432,181500
-118.43,34.23,35,1225,228,720,231,3.4013,176500
-118.43,34.22,36,1372,295,774,306,3.6618,187300
-118.43,34.22,34,2300,429,1447,455,4.2656,233700
-118.43,34.21,26,2867,671,1955,640,4.125,226500
-118.43,34.21,17,3667,1209,2636,1054,2.425,175500
-118.43,34.2,28,3386,815,2240,737,3.0221,290100
-118.43,34.2,20,4090,1271,2824,1053,2.773,140500
-118.43,34.19,27,3440,739,1827,712,4.125,245500
-118.43,34.18,33,2717,662,1546,597,3.9099,267500
-118.43,34.18,25,3830,1105,2328,1017,2.6238,210000
-118.43,34.18,22,2052,568,1254,572,2.6364,271100
-118.43,34.17,42,777,102,284,113,11.2093,500001
-118.43,34.17,37,1982,331,794,340,5.9275,336900
-118.43,34.17,35,2922,507,1130,485,5.451,341800
-118.43,34.17,34,2180,424,906,429,4.4464,353100
-118.43,34.17,32,3202,696,1573,621,3.4449,292900
-118.43,34.16,41,2050,478,850,490,3.4208,343400
-118.43,34.16,40,1134,184,452,187,4.569,333900
-118.43,34.16,34,2622,467,1233,476,4.0474,379700
-118.43,34.16,34,2459,489,1139,463,4.0347,353600
-118.43,34.15,42,1293,214,459,217,7.672,467600
-118.43,34.15,31,1856,425,795,426,2.8448,360600
-118.43,34.15,28,6270,1706,2549,1497,3.2241,295800
-118.43,34.15,26,2900,667,1090,590,3.7125,447400
-118.43,34.14,44,1693,239,498,216,10.9237,500001
-118.43,34.13,37,4400,695,1521,666,8.2954,500001
-118.43,34.11,27,10806,1440,3511,1352,12.7296,500001
-118.43,34.08,46,778,90,238,93,15.0001,500001
-118.43,34.07,38,3251,656,1251,593,7.7382,500001
-118.43,34.07,34,3203,483,949,439,10.3467,500001
-118.43,34.06,41,1463,267,601,267,5.3777,500001
-118.43,34.06,38,2982,664,1122,572,4.1908,500001
-118.43,34.06,20,4600,1018,1675,932,5.1999,500001
-118.43,34.06,11,3184,641,911,463,7.2675,500001
-118.43,34.05,52,1693,290,727,305,6.7115,500001
-118.43,34.05,24,3832,949,1613,893,3.9673,477300
-118.43,34.05,22,4251,1073,1581,881,5.2555,500001
-118.43,34.04,52,1782,308,735,307,5.2954,485100
-118.43,34.04,42,2725,569,1115,516,4.5833,427500
-118.43,34.03,45,1740,311,788,306,5.2099,373600
-118.43,34.03,39,1733,429,855,387,3.2308,340800
-118.43,34.03,26,1706,516,894,435,3.1875,372700
-118.43,34.02,42,1528,244,634,242,8.1631,500001
-118.43,34.02,38,2172,437,830,368,3.9091,500001
-118.43,34.01,41,1527,279,746,285,6.4232,446600
-118.43,34.01,31,2526,528,1046,504,4.7009,500001
-118.43,34.01,27,3133,1021,2242,1002,2.697,412500
-118.43,34,37,1340,358,1008,340,3.7614,314300
-118.43,34,30,2148,597,1341,559,3.3995,324000
-118.43,34,28,6128,1963,3586,1815,2.7058,310900
-118.43,33.99,45,1899,461,1260,415,2.6667,320000
-118.43,33.99,43,2483,548,1212,493,4.0189,302900
-118.43,33.99,42,2558,558,1328,541,4.875,301300
-118.43,33.99,35,2243,495,1135,465,4.3281,324000
-118.43,33.98,19,8324,1590,2927,1538,7.5426,351700
-118.43,33.97,16,70,7,17,4,7.7197,500001
-118.43,33.96,38,1104,216,415,163,6.1985,422000
-118.43,33.96,16,14891,3984,6270,3595,5.1064,283200
-118.43,33.9,27,1536,377,553,326,5.4088,500001
-118.43,33.87,41,847,173,344,170,6.822,500001
-118.43,33.86,34,358,87,162,84,7.1264,500001
-118.43,33.83,19,6206,1611,2455,1472,5.145,420200
-118.43,33.82,34,2112,614,946,574,4.6048,500001
-118.44,35.75,23,3166,700,1097,493,2.6288,96000
-118.44,35.13,34,1170,290,602,266,1.7917,80000
-118.44,35.13,21,1899,447,1133,391,1.8636,67900
-118.44,34.5,5,1514,220,1355,215,8.1344,359000
-118.44,34.32,14,6235,1286,3568,1190,4.1724,211600
-118.44,34.31,22,3182,822,2661,746,2.7472,160100
-118.44,34.29,35,2606,447,1555,404,4.6864,193800
-118.44,34.29,32,1260,382,1434,342,2.0286,122900
-118.44,34.29,30,1632,401,1357,401,3.1588,160100
-118.44,34.28,47,843,194,800,180,3.3687,151700
-118.44,34.28,46,11,11,24,13,2.875,162500
-118.44,34.28,38,1156,305,1359,289,2.5147,137100
-118.44,34.28,37,944,244,1107,235,1.9688,144100
-118.44,34.28,32,527,146,582,143,1.7708,138800
-118.44,34.27,35,777,187,1022,186,3.4,139600
-118.44,34.27,29,1701,419,1616,371,3.3603,142400
-118.44,34.26,34,325,60,433,83,5.5124,174300
-118.44,34.26,34,1102,212,949,212,4.0792,165100
-118.44,34.26,28,1077,288,1377,293,3.9167,153900
-118.44,34.25,33,1121,231,1038,236,4.8958,173700
-118.44,34.24,35,2344,435,1531,399,3.725,178200
-118.44,34.23,36,1730,387,1099,353,4.0368,183100
-118.44,34.22,41,1582,399,1159,378,2.825,168600
-118.44,34.22,41,1030,214,664,223,3.8083,183800
-118.44,34.22,39,1529,344,913,314,3.325,178200
-118.44,34.22,36,1191,266,718,248,3.4612,178800
