"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value"
"12001",-121.39,38.55,25,2171,431,1053,422,3.5278,126200
"12002",-121.39,38.55,18,1734,467,783,447,1.9044,154300
"12003",-121.39,38.51,19,1808,375,758,320,2.0062,92000
"12004",-121.39,38.43,3,2696,384,990,316,5.4445,237600
"12005",-121.39,36.16,28,1057,249,288,130,3.0526,146900
"12006",-121.4,39.33,15,2655,493,1200,432,3.5179,107200
"12007",-121.4,38.71,15,4680,758,2626,729,3.8355,107000
"12008",-121.4,38.63,31,1540,452,1079,444,1.8571,98700
"12009",-121.4,38.63,30,3626,834,1577,806,2.517,130400
"12010",-121.4,38.62,28,3671,886,1733,820,2.2292,113200
"12011",-121.4,38.61,33,3512,825,1515,782,1.9908,118800
"12012",-121.4,38.59,18,2614,624,1181,616,2.0432,156800
"12013",-121.4,38.57,25,2022,295,639,278,5.8416,297600
"12014",-121.4,38.56,22,2623,357,838,368,7.143,327800
"12015",-121.4,38.55,26,2697,398,1088,389,5,142500
"12016",-121.4,38.55,19,2497,494,748,442,2.925,142400
"12017",-121.4,38.53,38,152,30,65,35,0.9274,67500
"12018",-121.4,38.49,12,7290,1283,3960,1248,3.5968,106300
"12019",-121.4,38.47,4,20982,3392,10329,3086,4.3658,130600
"12020",-121.4,37.74,20,2706,477,1236,474,4.15,322400
"12021",-121.4,36.86,36,1256,270,910,255,1.9405,145400
"12022",-121.4,36.85,50,2666,613,1768,555,2.6598,157300
"12023",-121.4,36.84,52,1860,400,1215,367,2.9554,136500
"12024",-121.4,36.84,40,2352,536,1430,535,3.0912,155300
"12025",-121.4,36.83,11,3701,739,1749,654,3.067,207900
"12026",-121.41,40.82,16,2668,516,915,362,2.3393,90300
"12027",-121.41,39.72,17,1583,331,730,306,2.3895,87500
"12028",-121.41,39.04,16,1698,300,731,291,3.0739,87200
"12029",-121.41,38.69,28,1601,308,848,305,3.6429,105200
"12030",-121.41,38.64,41,1578,317,897,333,2.3214,66800
"12031",-121.41,38.64,38,1384,287,682,280,1.9167,64400
"12032",-121.41,38.62,21,3260,763,1735,736,2.5162,97500
