"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value"
"1501",-117.2,32.79,34,757,212,409,222,3.2312,192200
"1502",-117.2,32.79,16,2079,394,746,383,5.0958,3e+05
"1503",-117.2,32.78,38,2662,498,1132,496,4.0057,241600
"1504",-117.2,32.77,31,1952,471,936,462,2.8621,196900
"1505",-117.21,34.51,17,4379,629,1720,595,5.086,148400
"1506",-117.21,34.28,16,3326,569,527,192,5.7421,167600
"1507",-117.21,34.14,16,1613,245,811,267,5.2591,140700
"1508",-117.21,34.13,31,3037,565,1834,575,3.3445,92900
"1509",-117.21,34.12,32,1677,354,1021,339,3.6853,90900
"1510",-117.21,34.11,27,1245,229,692,234,3.2176,89400
"1511",-117.21,34.11,26,1757,304,905,281,3.4103,90900
"1512",-117.21,34.08,5,5749,1385,2382,1088,3.0587,143100
"1513",-117.21,34.05,4,2904,764,1250,664,3.2131,137500
"1514",-117.21,34.04,14,3063,426,1570,419,6.2917,224700
"1515",-117.21,33.97,3,18356,2537,8437,2342,5.6409,197700
"1516",-117.21,33.95,5,8403,1240,3962,1150,5.2174,155500
"1517",-117.21,33.93,4,10002,1468,5439,1397,5.0223,152600
"1518",-117.21,33.82,2,4198,805,1943,673,3.9052,122100
"1519",-117.21,33.71,16,8476,1758,2711,1427,2.1848,97900
"1520",-117.21,33.61,7,7722,1324,2975,1161,3.6273,150900
"1521",-117.21,33.34,10,5294,817,2312,810,5.4563,325700
"1522",-117.21,33.2,22,3337,518,1288,466,5.04,253700
"1523",-117.21,33.17,16,1787,361,1446,362,3.75,163800
"1524",-117.21,33.16,13,2937,698,1246,579,2.6487,196000
"1525",-117.21,33.14,12,4839,954,1708,952,2.8586,163300
"1526",-117.21,33.13,19,3068,596,912,554,3.775,168000
"1527",-117.21,33.13,15,1889,368,754,409,2.2278,132800
"1528",-117.21,33.12,4,3261,689,926,561,4.3672,258900
"1529",-117.21,33.03,20,3370,433,1020,408,11.0911,500001
"1530",-117.21,33.02,26,3194,454,1032,406,10.156,500001
"1531",-117.21,32.96,3,6251,988,2330,893,8.4355,467600
"1532",-117.21,32.89,14,3114,773,1592,776,3.3176,156100
"1533",-117.21,32.87,12,1428,303,528,269,4.1429,254400
"1534",-117.21,32.86,26,1352,202,654,217,5.3693,260700
"1535",-117.21,32.86,24,3596,494,1573,492,6.5382,326000
"1536",-117.21,32.86,16,2800,566,1267,518,3.2794,148600
"1537",-117.21,32.85,26,2012,315,872,335,5.4067,277500
"1538",-117.21,32.84,34,2158,366,1046,335,4.5402,182100
"1539",-117.21,32.83,36,1475,328,806,327,3.5078,166000
"1540",-117.21,32.83,35,2259,501,1340,511,3.4482,162500
"1541",-117.21,32.83,28,3241,533,1334,513,4.1806,199600
"1542",-117.21,32.81,33,4773,873,1954,845,4.3862,184800
"1543",-117.21,32.81,27,1318,216,495,191,5.2837,283800
"1544",-117.21,32.81,26,2496,407,1062,380,5.5413,302100
"1545",-117.21,32.8,34,1398,222,532,244,3.7102,289600
"1546",-117.21,32.75,27,2072,534,1118,510,2.8043,262100
"1547",-117.21,32.75,15,1716,702,914,672,1.0612,3e+05
"1548",-117.21,32.74,52,1245,174,468,193,6.9322,334500
"1549",-117.22,34.54,8,12526,2495,6133,2324,2.9072,119200
