"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value"
"11001",-120.94,37.7,25,1005,159,390,139,4.4,174100
"11002",-120.94,37.68,4,13315,2424,6420,2289,4.2471,162100
"11003",-120.94,37.66,17,1147,140,327,136,6.8654,290500
"11004",-120.94,37.65,13,5075,978,3033,838,3.0577,119000
"11005",-120.94,37.63,43,244,52,176,60,1.425,69400
"11006",-120.94,37.61,13,3309,603,1796,555,3.8372,129300
"11007",-120.94,37.6,30,3257,574,1804,588,3.5331,102900
"11008",-120.94,37.59,16,3964,824,2622,766,2.3152,111300
"11009",-120.94,37.58,19,1549,369,770,370,2.0493,99500
"11010",-120.94,37.4,32,1175,208,774,222,3,109400
"11011",-120.95,39.93,26,2023,385,922,365,2.8125,83500
"11012",-120.95,38.79,12,3247,579,1459,517,4.3981,202800
"11013",-120.95,38.69,10,3421,563,1689,545,5.2032,217100
"11014",-120.95,37.74,18,3453,666,1958,601,3.0043,156500
"11015",-120.95,37.73,12,3609,712,2650,742,2.8565,92700
"11016",-120.95,37.67,15,3062,584,1624,538,4.3864,137600
"11017",-120.95,37.66,16,4478,647,1990,672,5.1473,188400
"11018",-120.95,37.65,37,136,20,72,22,2.2279,225000
"11019",-120.95,37.65,14,5200,1119,3221,1102,2.6964,107000
"11020",-120.95,37.64,32,3487,740,1957,685,2.7209,88300
"11021",-120.95,37.62,11,4981,814,1934,686,3.7041,174800
"11022",-120.95,37.61,17,4054,654,2034,667,4.6833,142200
"11023",-120.95,37.6,35,1493,278,729,268,2.9821,97400
"11024",-120.95,37.59,43,1561,354,862,332,1.8466,81500
"11025",-120.95,37.59,29,1727,439,1063,386,1.8929,63600
"11026",-120.95,37.57,29,1179,249,672,243,3.1125,154800
"11027",-120.95,37.09,43,1116,222,801,207,2.875,97200
"11028",-120.95,36.47,52,1691,301,618,239,3.2292,225000
"11029",-120.95,35.44,30,6346,1410,1769,887,2.6864,283600
"11030",-120.96,41.12,29,779,136,364,123,2.5,59200
"11031",-120.96,40.28,19,683,139,302,111,2.5,64100
"11032",-120.96,39.12,24,2069,436,909,374,2.5326,139100
"11033",-120.96,37.77,32,2262,416,1156,404,3.8534,157600
"11034",-120.96,37.67,18,1442,229,538,220,4.2969,163200
"11035",-120.96,37.66,16,4961,902,2654,804,4.2823,138300
"11036",-120.96,37.65,34,1700,325,972,326,2.4485,95500
"11037",-120.96,37.64,41,1467,328,673,310,2.7917,90700
"11038",-120.96,37.64,36,60,12,51,14,3.625,67500
"11039",-120.96,37.61,23,3497,887,2467,816,1.9444,93400
"11040",-120.96,37.54,29,1468,245,747,231,3.4643,125000
"11041",-120.96,37.51,30,1288,237,720,233,2.3864,139100
"11042",-120.97,37.84,28,2368,430,1231,403,2.883,141900
"11043",-120.97,37.73,19,3725,543,1412,463,5.7476,248600
"11044",-120.97,37.69,16,2793,476,1279,477,3.4667,160900
"11045",-120.97,37.69,14,5514,909,2819,970,3.8598,174400
"11046",-120.97,37.68,9,1114,172,529,174,4.7159,163700
"11047",-120.97,37.68,16,2349,446,1302,392,3.1625,130300
"11048",-120.97,37.67,31,1648,293,792,294,2.4,121500
"11049",-120.97,37.66,24,2930,588,1448,570,3.5395,127900
"11050",-120.97,37.66,21,2760,632,1260,576,2.0227,179800
"11051",-120.97,37.65,16,3960,716,1776,724,3.9886,137500
"11052",-120.97,37.64,42,2359,504,1131,480,2.0833,95500
"11053",-120.97,37.63,39,2360,607,2047,605,1.7054,58800
"11054",-120.97,37.62,7,8489,1673,5807,1575,2.9451,127800
"11055",-120.97,37.61,16,1326,375,884,375,1.871,103900
"11056",-120.97,37.43,27,1380,270,810,262,2.1875,137500
"11057",-120.98,39.93,25,2220,511,912,449,1.8914,87800
"11058",-120.98,39.08,20,4570,906,2125,815,3.0403,148000
"11059",-120.98,38.99,17,3403,661,1540,622,3.6354,162900
"11060",-120.98,38.68,5,4810,909,2242,900,3.2964,176900
"11061",-120.98,37.79,20,2458,491,1227,481,2.7857,110900
"11062",-120.98,37.69,18,3176,468,1296,471,5.5684,185100
"11063",-120.98,37.68,27,4006,762,1806,718,3.1848,112800
"11064",-120.98,37.68,24,705,114,347,141,3.1912,149600
"11065",-120.98,37.68,18,4197,1006,2203,874,2.166,118600
"11066",-120.98,37.67,13,1221,260,682,275,3.65,155500
"11067",-120.98,37.66,40,3012,616,1423,595,2.6346,100600
"11068",-120.98,37.66,33,1959,342,984,356,4.5208,114200
"11069",-120.98,37.66,10,934,260,401,255,0.9336,127100
"11070",-120.98,37.65,40,422,63,158,63,7.3841,172200
"11071",-120.98,37.65,36,826,167,432,150,2.5,103100
"11072",-120.98,37.64,45,1913,335,839,333,3.1397,110700
"11073",-120.98,37.64,40,1791,359,679,322,2.1458,130300
"11074",-120.98,37.62,26,3819,955,3010,932,1.9206,81300
"11075",-120.98,37.6,36,1437,331,1073,320,2.1779,58400
"11076",-120.98,37.57,27,925,176,449,168,2.6406,129700
"11077",-120.99,39.26,16,2616,422,1090,425,3.7917,179200
"11078",-120.99,39.22,16,1497,275,737,243,2.8942,182500
"11079",-120.99,39.2,15,2993,562,1296,518,3.3009,156800
"11080",-120.99,39.18,23,2550,457,1016,405,3.6607,153000
"11081",-120.99,39.13,14,770,116,285,116,3.6434,155400
"11082",-120.99,39.04,17,2289,450,1182,397,2.3696,166800
"11083",-120.99,38.69,5,5743,1074,2651,962,4.1163,172500
"11084",-120.99,38.67,8,4913,744,2005,723,5.4413,187900
"11085",-120.99,37.8,32,2564,513,1198,459,2.9083,113400
"11086",-120.99,37.69,25,2773,384,1060,381,6.4788,199400
"11087",-120.99,37.68,30,1975,375,732,326,2.6932,94900
"11088",-120.99,37.68,28,3269,647,1595,617,2.2336,112700
"11089",-120.99,37.67,28,1768,423,1066,392,1.8315,90500
"11090",-120.99,37.67,16,568,124,307,116,2.1518,107400
"11091",-120.99,37.66,46,1750,347,754,356,2.9137,106000
"11092",-120.99,37.65,44,2848,623,1408,576,2.1487,86600
"11093",-120.99,37.64,50,683,189,459,195,1.8162,70000
"11094",-120.99,37.64,41,1580,385,881,361,2.7538,99600
"11095",-120.99,37.63,21,319,120,276,85,2.4792,60000
"11096",-120.99,37.62,37,2014,505,1787,515,1.5515,54100
"11097",-121,39.75,8,1116,214,27,39,2.5893,83000
"11098",-121,39.26,14,810,151,302,138,3.1094,136100
"11099",-121,39.23,15,2809,450,1267,408,4.0426,191700
"11100",-121,39.16,10,1170,225,537,194,3.2813,163200
"11101",-121,39.09,7,439,84,246,80,3.0781,162500
"11102",-121,39,4,170,23,93,27,10.9891,312500
"11103",-121,38.58,12,3425,549,1357,451,5.3344,217500
"11104",-121,37.8,13,4030,744,2248,766,3.6107,141300
"11105",-121,37.71,52,102,23,35,33,2.25,175000
"11106",-121,37.69,18,3469,661,1452,628,3.4079,147500
"11107",-121,37.68,29,2911,445,1170,460,4.9904,158100
"11108",-121,37.68,15,1232,180,408,196,6.9682,182400
"11109",-121,37.67,27,2278,479,995,449,2.5148,110200
"11110",-121,37.67,26,90,18,47,18,1.125,87500
"11111",-121,37.66,43,2039,331,875,342,3.9844,152000
"11112",-121,37.65,52,3887,803,1768,779,2.5089,119000
"11113",-121,37.65,17,484,202,198,204,0.6825,187500
"11114",-121,37.64,43,311,95,293,94,1.2902,67500
"11115",-121,37.64,19,121,41,658,41,0.9573,162500
"11116",-121,37.63,49,2051,500,1525,467,1.59,80900
"11117",-121,37.63,31,215,62,192,66,1.75,73800
"11118",-121,37.62,28,1153,420,1043,357,1.0801,75000
"11119",-121,37.26,45,1750,371,847,354,1.7062,77400
"11120",-121,37.25,31,1923,341,806,349,3.1738,97600
"11121",-121,37.25,21,1937,389,1002,373,2.6087,96200
"11122",-121,35.94,16,3077,628,1479,536,3.3724,114600
"11123",-121.01,38.73,7,6322,1046,2957,1024,4.7276,197500
"11124",-121.01,37.74,14,2368,297,796,301,8.7783,435000
"11125",-121.01,37.7,12,9148,1906,4656,1853,3.2447,142200
"11126",-121.01,37.69,20,3275,760,1538,705,2.48,135600
"11127",-121.01,37.68,33,828,123,373,133,5.5,146200
"11128",-121.01,37.68,33,3230,587,1579,560,3.5775,109700
"11129",-121.01,37.67,37,2483,459,1072,445,3.0721,108100
"11130",-121.01,37.66,36,3679,613,1366,581,4.5,151400
"11131",-121.01,37.65,52,178,53,152,62,0.4999,82500
"11132",-121.01,37.64,52,201,35,74,22,1.3036,75000
"11133",-121.01,37.64,36,1981,507,1998,468,1.9013,69900
"11134",-121.01,37.64,33,693,207,598,192,1.0217,81300
"11135",-121.01,37.63,41,2764,639,2122,600,1.9643,74900
"11136",-121.01,37.62,35,568,150,622,145,1.8167,79500
"11137",-121.01,37.62,35,2074,477,1687,431,2.0885,73700
"11138",-121.01,37.61,5,3655,696,2316,647,3.4703,129300
"11139",-121.01,37.37,41,1045,233,632,230,2.3583,95000
"11140",-121.01,37.33,17,1926,410,1054,321,1.6214,71500
"11141",-121.02,40.51,17,890,167,406,154,3.3036,78300
"11142",-121.02,39.27,52,3720,707,1424,609,3.2,155000
"11143",-121.02,39.25,52,1549,275,604,249,2.2278,155400
"11144",-121.02,39.23,16,1427,319,642,333,1.4241,125000
"11145",-121.02,39.17,17,2277,459,1149,476,3.2303,149500
"11146",-121.02,39.01,17,4786,799,2066,770,3.9734,185400
"11147",-121.02,38.66,4,7392,1155,3096,1065,4.5246,198900
"11148",-121.02,37.71,25,207,41,87,43,3.6023,131300
"11149",-121.02,37.7,16,3476,650,2126,665,3.3438,125400
"11150",-121.02,37.69,19,3814,790,2219,804,3.5208,145000
"11151",-121.02,37.66,28,1437,400,806,338,1.6078,125000
"11152",-121.02,37.65,20,2973,620,1996,570,3.0645,106000
"11153",-121.02,37.64,42,1437,307,1035,284,2.1036,88300
"11154",-121.02,37.63,35,1591,364,1290,352,1.564,81800
"11155",-121.02,37.62,30,1721,399,1878,382,2.5363,83900
