"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value"
"2001",-117.31,33.25,13,3075,630,1843,674,2.8558,97100
"2002",-117.31,33.19,11,20944,3753,8738,3441,4.3762,215500
"2003",-117.31,33.18,16,1835,430,599,399,2.0147,87700
"2004",-117.31,33.16,17,1704,263,781,281,5.6605,224400
"2005",-117.31,33.11,7,7974,1703,2904,1550,4.1282,188100
"2006",-117.31,33.1,15,2392,446,747,421,3.5341,500001
"2007",-117.31,33.07,21,2035,534,948,467,3.2984,369400
"2008",-117.31,33,30,1631,310,665,297,6.8443,492500
"2009",-117.31,32.83,38,2367,480,891,428,4.1477,500001
"2010",-117.31,32.82,42,2785,389,833,333,11.3074,500001
"2011",-117.32,34.55,18,279,59,188,60,0.8246,91700
"2012",-117.32,34.54,9,5904,1165,3489,1063,3.125,92800
"2013",-117.32,34.51,16,3072,612,1283,604,2.8929,115600
"2014",-117.32,34.49,7,4584,1051,2049,918,1.6232,93400
"2015",-117.32,34.48,8,4627,887,2739,846,3.0204,93100
"2016",-117.32,34.41,13,2032,348,1038,344,4.2891,120100
"2017",-117.32,34.24,29,1290,263,323,113,1.9265,103300
"2018",-117.32,34.19,6,1068,182,999,188,4.7222,109000
"2019",-117.32,34.17,6,5661,1287,2943,1162,3.6362,106500
"2020",-117.32,34.16,9,711,139,316,152,4.0156,131000
"2021",-117.32,34.14,32,1691,353,1457,329,1.8438,66600
"2022",-117.32,34.13,41,1837,409,1430,344,2.4524,70400
"2023",-117.32,34.12,39,2210,498,1752,477,1.4066,66400
"2024",-117.32,34.12,37,2868,574,2055,563,2.3508,70500
"2025",-117.32,34.11,41,1229,302,994,270,1.4891,67300
"2026",-117.32,34.1,42,801,176,711,183,1.8681,59700
"2027",-117.32,34.1,27,2053,461,1737,463,3.1213,78800
"2028",-117.32,34.09,38,1585,345,1347,368,2.375,75300
"2029",-117.32,34.09,30,1129,251,1034,237,2.3917,78600
"2030",-117.32,34.08,46,1308,276,576,244,3.1875,84000
"2031",-117.32,34.08,41,1359,264,786,244,2.5208,85500
