"","longitude","latitude","housing_median_age","total_rooms","total_bedrooms","population","households","median_income","median_house_value"
"15501",-122.32,37.92,29,2304,399,1377,454,5.0187,140600
"15502",-122.32,37.92,28,4649,977,2606,953,3.2674,129100
"15503",-122.32,37.92,22,1119,220,565,199,3.3594,186900
"15504",-122.32,37.91,34,2669,647,1341,555,2.6399,119600
"15505",-122.32,37.69,48,592,122,340,143,5.966,315200
"15506",-122.32,37.57,52,499,148,318,145,2.9934,256300
"15507",-122.32,37.57,42,2574,614,2377,588,3.2891,237900
"15508",-122.32,37.56,9,1150,287,377,243,3.8317,237500
"15509",-122.32,37.56,44,537,173,355,194,2.8571,250000
"15510",-122.32,37.56,26,2339,704,1283,654,3.162,415000
"15511",-122.32,37.55,50,2501,433,1050,410,4.6406,500001
"15512",-122.32,37.55,46,1437,266,607,263,4.8068,369700
"15513",-122.32,37.55,44,2151,411,849,370,4.4583,397100
"15514",-122.32,37.54,34,3661,692,1608,656,5.0774,407200
"15515",-122.32,37.53,39,2795,464,1183,443,5.779,387100
"15516",-122.32,37.52,17,6645,1034,2557,1032,6.3892,480800
"15517",-122.33,41.86,19,3599,695,1572,601,2.234,58600
"15518",-122.33,40.6,5,6383,1206,2965,1141,3.8103,111100
"15519",-122.33,40.57,16,2777,503,1432,500,2.5592,75900
"15520",-122.33,40.48,26,695,126,319,124,3.2788,101600
"15521",-122.33,40.47,30,2502,523,1296,481,2.125,66100
"15522",-122.33,39.1,10,266,62,154,49,2.25,75000
"15523",-122.33,38.39,36,831,122,272,109,6.3427,304800
"15524",-122.33,38.38,28,1020,169,504,164,4.5694,287500
"15525",-122.33,38.33,15,3193,468,1303,426,5.3017,202600
"15526",-122.33,38.31,14,6778,947,2768,1014,6.1953,258900
"15527",-122.33,38.29,14,3541,499,1577,459,5.3351,269900
"15528",-122.33,38.21,33,2017,370,949,342,4.625,228600
"15529",-122.33,38,35,3779,711,2493,679,2.9781,109000
"15530",-122.33,37.99,4,3999,1079,1591,887,3.911,112500
"15531",-122.33,37.98,3,2850,544,1024,515,6.0115,175000
"15532",-122.33,37.97,45,1982,376,1179,398,3.5463,130800
"15533",-122.33,37.96,46,1222,236,819,251,3.9118,129400
"15534",-122.33,37.95,46,1543,339,777,322,4.0927,142600
"15535",-122.33,37.95,45,1585,329,981,373,3.0313,135800
"15536",-122.33,37.95,42,1627,336,848,316,3.7708,144600
"15537",-122.33,37.95,22,2099,569,1135,509,2.1915,120800
"15538",-122.33,37.94,47,1882,361,797,342,3.5848,140800
"15539",-122.33,37.94,45,1226,279,590,260,2.8833,140400
"15540",-122.33,37.94,44,1769,332,828,309,4.0526,150800
"15541",-122.33,37.94,42,1695,345,719,334,3.9417,139100
"15542",-122.33,37.93,27,2158,424,1220,442,3.0156,111500
"15543",-122.33,37.92,26,3887,779,2512,740,2.2301,122400
"15544",-122.33,37.89,42,1342,291,551,266,4.5268,207400
"15545",-122.33,37.58,43,1772,422,1573,401,2.7474,233100
"15546",-122.33,37.58,40,2362,468,992,425,4.7917,359900
"15547",-122.33,37.57,27,3085,876,1453,896,3.4333,290000
"15548",-122.33,37.57,20,2126,643,1112,597,3.625,283300
"15549",-122.33,37.56,50,1975,245,644,251,10.0743,500001
"15550",-122.33,37.56,34,6394,1619,2400,1496,3.4902,500001
"15551",-122.33,37.55,51,2565,332,870,309,9.3694,500001
"15552",-122.33,37.55,33,2199,312,827,319,6.1349,500001
"15553",-122.33,37.53,18,4493,760,1784,725,6.7042,413000
"15554",-122.34,41.21,26,178,40,55,25,2.0375,57500
"15555",-122.34,41.06,33,2149,498,631,273,1.8816,65800
"15556",-122.34,40.63,10,2183,369,1061,325,3.6853,151600
"15557",-122.34,40.58,7,4843,992,2223,932,3.0549,101700
"15558",-122.34,40.57,26,2187,472,1339,463,2.0395,67900
"15559",-122.34,40.57,24,1610,307,748,307,2.6591,82800
"15560",-122.34,40.51,16,2247,502,1206,463,1.9946,119200
"15561",-122.34,40.32,12,3848,689,2008,683,2.6352,92200
"15562",-122.34,37.99,42,1531,326,1271,377,2.6167,85100
"15563",-122.34,37.98,33,2014,410,1354,427,3.9773,131300
"15564",-122.34,37.96,33,1817,441,1220,389,2.5382,103600
"15565",-122.34,37.96,15,6487,1717,3408,1560,2.1991,133300
"15566",-122.34,37.95,44,1788,368,933,329,2.875,133400
"15567",-122.34,37.95,44,1675,317,806,311,3.0694,135300
"15568",-122.34,37.95,39,1986,427,1041,385,3.2333,135100
"15569",-122.34,37.95,38,1340,298,766,241,3.2833,111700
"15570",-122.34,37.94,47,2313,433,947,430,3.942,143300
"15571",-122.34,37.94,44,1917,444,936,435,2.7391,140300
"15572",-122.34,37.94,42,2206,451,989,444,3.125,143900
"15573",-122.34,37.94,31,1611,455,786,411,1.681,145500
"15574",-122.34,37.93,45,2225,486,1304,459,2.64,112100
"15575",-122.34,37.93,32,2389,652,1672,584,1.4423,88300
"15576",-122.34,37.93,30,2515,481,1327,428,2.1287,95000
"15577",-122.34,37.88,37,3061,930,2556,924,1.7375,350000
"15578",-122.34,37.59,44,1395,269,736,288,5.6206,386400
"15579",-122.34,37.58,50,2784,743,1622,698,3.8413,372200
"15580",-122.34,37.57,52,2635,408,967,374,7.0422,500001
"15581",-122.34,37.57,52,2547,373,876,359,8.2598,500001
"15582",-122.34,37.57,39,2647,616,1254,555,4.2407,433800
"15583",-122.34,37.57,28,3751,949,1691,846,3.9728,3e+05
"15584",-122.34,37.55,44,2465,328,843,324,6.9533,500001
"15585",-122.34,37.55,25,4470,518,1507,504,13.3913,500001
"15586",-122.34,37.53,27,3339,481,1354,458,7.3081,464600
"15587",-122.34,37.52,34,3559,560,1747,550,6.6959,411200
"15588",-122.34,37.46,21,1799,293,576,277,7.439,500001
"15589",-122.35,40.68,36,1822,449,930,399,1.3801,56600
"15590",-122.35,40.57,22,589,97,338,107,3.2639,87500
"15591",-122.35,40.57,18,2226,490,859,451,1.6821,69400
"15592",-122.35,40.54,17,2280,453,976,434,2.71,97800
"15593",-122.35,40.25,10,1621,318,866,283,3.5,104300
"15594",-122.35,38.3,18,3735,557,1504,521,5.6304,243100
"15595",-122.35,37.98,34,3756,726,2237,686,3.7562,132900
"15596",-122.35,37.97,43,2178,482,1545,471,2.5863,112200
"15597",-122.35,37.96,34,1428,335,1272,319,2.5461,93900
"15598",-122.35,37.96,32,1991,504,1139,423,2.0353,113600
"15599",-122.35,37.96,29,1899,524,1357,443,1.875,97200
"15600",-122.35,37.95,45,2142,431,1318,431,3.0737,111600
"15601",-122.35,37.95,42,1485,290,971,303,3.6094,114600
"15602",-122.35,37.95,31,2449,595,1801,548,2.6328,110300
"15603",-122.35,37.94,34,1880,459,1358,422,1.6571,105200
"15604",-122.35,37.93,41,268,75,198,82,3.2222,156300
"15605",-122.35,37.93,39,2002,416,1166,395,1.7257,91500
"15606",-122.35,37.93,28,1995,488,1182,439,2.3352,84300
"15607",-122.35,37.93,19,1334,366,1048,316,1.7865,88000
"15608",-122.35,37.91,4,2851,798,1285,712,4.2895,186800
"15609",-122.35,37.58,52,2495,458,1081,471,4.0855,410800
"15610",-122.35,37.58,30,5039,1564,2129,1536,3.3469,345000
"15611",-122.35,37.57,52,2170,269,784,274,10.4286,500001
"15612",-122.35,37.57,52,2059,345,800,308,4.97,500001
"15613",-122.35,37.56,52,1659,191,519,201,14.4219,500001
"15614",-122.35,37.53,27,2169,305,905,319,7.7743,453100
"15615",-122.36,40.69,32,3611,772,2060,759,1.7427,60600
"15616",-122.36,40.68,28,1745,379,1011,370,2.0391,59800
"15617",-122.36,40.66,17,2786,559,1528,517,2.0119,75800
"15618",-122.36,40.62,11,3896,886,1902,843,2.2905,94200
"15619",-122.36,40.58,17,1220,275,800,261,1.9181,118800
"15620",-122.36,40.57,31,431,90,231,78,2.184,77300
"15621",-122.36,40.56,20,3592,868,1865,781,2.0258,64800
"15622",-122.36,40.55,21,2500,466,1428,502,2.6513,113300
"15623",-122.36,40.48,21,2333,514,1308,509,2.0899,74800
"15624",-122.36,38.4,16,2716,546,898,500,2.2536,201200
"15625",-122.36,38.03,32,2159,393,981,369,4.3173,175400
"15626",-122.36,37.96,39,246,57,316,52,0.716,104200
"15627",-122.36,37.96,31,1157,276,956,232,1.5347,80400
"15628",-122.36,37.96,30,950,317,1073,280,1.8664,107800
"15629",-122.36,37.95,40,408,102,302,81,1.8333,69800
"15630",-122.36,37.95,38,1066,248,729,286,1.5139,81700
"15631",-122.36,37.95,38,1042,289,773,248,2.7714,104700
"15632",-122.36,37.94,45,907,188,479,161,3.0862,79000
"15633",-122.36,37.94,43,369,107,371,111,1.6,79400
"15634",-122.36,37.94,41,2591,585,1638,462,1.822,79700
"15635",-122.36,37.94,26,1540,343,1007,338,1.3365,72900
"15636",-122.36,37.93,44,1891,449,1047,432,1.7727,86100
"15637",-122.36,37.93,42,1796,389,1107,372,1.9375,87000
"15638",-122.36,37.92,52,215,41,126,43,1.3929,104200
"15639",-122.36,37.59,20,2638,854,1352,718,3.5125,350600
"15640",-122.36,37.58,52,3084,595,1324,571,5.0756,374200
"15641",-122.36,37.58,37,3325,734,1468,692,4.0987,434000
"15642",-122.36,37.57,35,1774,205,588,207,10.7339,500001
"15643",-122.36,37.56,32,4684,540,1512,511,15.0001,500001
"15644",-122.36,37.54,23,6184,747,2165,700,10.1675,500001
"15645",-122.37,41.41,28,1729,419,929,370,1.27,53100
"15646",-122.37,40.6,7,5178,1336,2557,1283,2.4079,111400
"15647",-122.37,40.58,25,2054,495,835,475,2.1538,76900
"15648",-122.37,40.54,28,2213,390,1096,378,3.6923,86900
"15649",-122.37,40.45,18,1748,337,921,327,3.3315,85400
"15650",-122.37,40.39,12,3783,702,1970,639,3.3005,98500
"15651",-122.37,37.95,35,215,45,100,34,1.6023,81300
"15652",-122.37,37.95,32,1298,363,716,268,0.9797,76400
"15653",-122.37,37.94,49,969,229,599,195,1.3167,71600
"15654",-122.37,37.93,45,3150,756,1798,749,1.75,37900
"15655",-122.37,37.93,37,709,190,644,174,0.8641,84200
"15656",-122.37,37.81,26,5416,1045,4531,962,2.7909,250000
"15657",-122.37,37.6,26,15,3,11,3,5.048,350000
"15658",-122.37,37.59,52,2272,403,963,376,5.7245,5e+05
"15659",-122.37,37.59,39,4645,1196,2156,1113,3.4412,353800
"15660",-122.37,37.58,52,1900,290,665,276,4.5486,500001
"15661",-122.37,37.58,43,2506,432,967,428,4.7404,500001
"15662",-122.37,37.58,34,2697,313,810,279,12.4291,500001
"15663",-122.37,37.56,21,7189,874,2440,846,11.6833,500001
"15664",-122.38,41.54,14,4453,797,1817,685,2.7468,81100
"15665",-122.38,41.43,45,2245,448,1155,421,1.6509,46200
"15666",-122.38,40.69,21,1774,370,875,354,1.7422,61500
"15667",-122.38,40.67,10,2281,444,1274,438,2.212,65600
"15668",-122.38,40.61,14,4773,1133,2101,1072,1.7227,105000
